 Procedimentos hospitalares do SUS - por local de internação - Brasil
AIH aprovadasInternaçõesValor totalValor serviços hospitalaresVal serv hosp - compl federalVal serv hosp - compl gestorValor serviços profissionaisVal serv prof - compl federalVal serv prof - compl gestorValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Município
Procedimento: 0303010223 TRATAMENTO DE INFECÇÃO PELO CORONAVIRUS – COVID 19
Período:Nov/2020
"Município";"AIH_aprovadas";"Internações";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"210710 Morros";2;2;3001,00;2392,98;-;-;608,02;-;-;1500,50;1500,50;3;1,5;-;-
"210725 Nova Colinas";2;2;3000,00;2391,98;-;-;608,02;-;-;1500,00;1500,00;4;2,0;-;-
"210790 Passagem Franca";11;11;16860,00;13515,89;-;-;3344,11;-;-;1532,73;1532,73;53;4,8;-;-
"210800 Pastos Bons";2;2;3032,00;2423,98;-;-;608,02;-;-;1516,00;1516,00;9;4,5;-;-
"210820 Pedreiras";31;31;46500,00;37075,69;-;-;9424,31;-;-;1500,00;1500,00;426;13,7;3;9,68
"210860 Pinheiro";13;13;20302,93;16281,14;-;-;4021,79;-;-;1561,76;1561,76;107;8,2;-;-
"210880 Pirapemas";3;3;4500,00;3587,97;-;-;912,03;-;-;1500,00;1500,00;10;3,3;-;-
"210900 Porto Franco";13;13;19836,00;15883,87;-;-;3952,13;-;-;1525,85;1525,85;44;3,4;2;15,38
"210910 Presidente Dutra";42;42;203564,99;171711,77;-;-;31853,22;-;-;4846,79;4846,79;290;6,9;5;11,90
"210960 Rosário";2;2;3000,00;2391,98;-;-;608,02;-;-;1500,00;1500,00;6;3,0;-;-
"210970 Sambaíba";3;3;4572,00;3659,97;-;-;912,03;-;-;1524,00;1524,00;12;4,0;-;-
"210980 Santa Helena";6;6;9080,00;7255,94;-;-;1824,06;-;-;1513,33;1513,33;10;1,7;-;-
