,DataObito,Sistema,Quantidade
243,2020-10-08,Sim,546.0
244,2020-10-09,Sim,518.0
245,2020-10-10,Sim,522.0
246,2020-10-11,Sim,471.0
247,2020-10-12,Sim,444.0
248,2020-10-13,Sim,469.0
249,2020-10-14,Sim,441.0
250,2020-10-15,Sim,456.0
251,2020-10-16,Sim,450.0
252,2020-10-17,Sim,383.0
253,2020-10-18,Sim,418.0
254,2020-10-19,Sim,426.0
255,2020-10-20,Sim,391.0
256,2020-10-21,Sim,447.0
257,2020-10-22,Sim,417.0
258,2020-10-23,Sim,413.0
259,2020-10-24,Sim,376.0
260,2020-10-25,Sim,451.0
261,2020-10-26,Sim,402.0
262,2020-10-27,Sim,391.0
263,2020-10-28,Sim,436.0
264,2020-10-29,Sim,434.0
265,2020-10-30,Sim,391.0
266,2020-10-31,Sim,364.0
267,2020-11-01,Sim,391.0
268,2020-11-02,Sim,372.0
269,2020-11-03,Sim,402.0
270,2020-11-04,Sim,419.0
271,2020-11-05,Sim,426.0
272,2020-11-06,Sim,423.0
273,2020-11-07,Sim,429.0
274,2020-11-08,Sim,403.0
275,2020-11-09,Sim,382.0
276,2020-11-10,Sim,412.0
277,2020-11-11,Sim,435.0
278,2020-11-12,Sim,425.0
279,2020-11-13,Sim,438.0
280,2020-11-14,Sim,423.0
281,2020-11-15,Sim,419.0
282,2020-11-16,Sim,482.0
283,2020-11-17,Sim,486.0
284,2020-11-18,Sim,446.0
285,2020-11-19,Sim,483.0
286,2020-11-20,Sim,512.0
287,2020-11-21,Sim,505.0
288,2020-11-22,Sim,539.0
289,2020-11-23,Sim,567.0
290,2020-11-24,Sim,566.0
291,2020-11-25,Sim,564.0
292,2020-11-26,Sim,620.0
293,2020-11-27,Sim,587.0
294,2020-11-28,Sim,657.0
295,2020-11-29,Sim,642.0
296,2020-11-30,Sim,717.0
297,2020-12-01,Sim,693.0
298,2020-12-02,Sim,755.0
299,2020-12-03,Sim,739.0
300,2020-12-04,Sim,789.0
301,2020-12-05,Sim,717.0
302,2020-12-06,Sim,723.0
303,2020-12-07,Sim,779.0
304,2020-12-08,Sim,803.0
305,2020-12-09,Sim,812.0
306,2020-12-10,Sim,858.0
307,2020-12-11,Sim,831.0
308,2020-12-12,Sim,858.0
309,2020-12-13,Sim,891.0
310,2020-12-14,Sim,874.0
311,2020-12-15,Sim,971.0
312,2020-12-16,Sim,915.0
313,2020-12-17,Sim,967.0
314,2020-12-18,Sim,944.0
315,2020-12-19,Sim,941.0
316,2020-12-20,Sim,959.0
317,2020-12-21,Sim,930.0
318,2020-12-22,Sim,901.0
319,2020-12-23,Sim,994.0
320,2020-12-24,Sim,877.0
321,2020-12-25,Sim,920.0
322,2020-12-26,Sim,867.0
323,2020-12-27,Sim,913.0
324,2020-12-28,Sim,900.0
325,2020-12-29,Sim,935.0
326,2020-12-30,Sim,893.0
327,2020-12-31,Sim,905.0
328,2021-01-01,Sim,914.0
329,2021-01-02,Sim,965.0
330,2021-01-03,Sim,953.0
331,2021-01-04,Sim,940.0
332,2021-01-05,Sim,970.0
333,2021-01-06,Sim,941.0
334,2021-01-07,Sim,998.0
335,2021-01-08,Sim,1056.0
336,2021-01-09,Sim,1026.0
337,2021-01-10,Sim,1015.0
338,2021-01-11,Sim,1076.0
339,2021-01-12,Sim,1063.0
340,2021-01-13,Sim,1022.0
341,2021-01-14,Sim,1041.0
342,2021-01-15,Sim,1048.0
343,2021-01-16,Sim,1078.0
344,2021-01-17,Sim,1107.0
345,2021-01-18,Sim,1118.0
346,2021-01-19,Sim,1135.0
347,2021-01-20,Sim,1073.0
348,2021-01-21,Sim,1186.0
349,2021-01-22,Sim,1113.0
350,2021-01-23,Sim,1073.0
351,2021-01-24,Sim,1130.0
352,2021-01-25,Sim,1118.0
353,2021-01-26,Sim,1129.0
354,2021-01-27,Sim,1088.0
355,2021-01-28,Sim,1049.0
356,2021-01-29,Sim,1071.0
357,2021-01-30,Sim,1118.0
358,2021-01-31,Sim,1044.0
359,2021-02-01,Sim,1079.0
360,2021-02-02,Sim,1076.0
361,2021-02-03,Sim,1062.0
362,2021-02-04,Sim,1063.0
363,2021-02-05,Sim,1002.0
364,2021-02-06,Sim,1055.0
365,2021-02-07,Sim,923.0
366,2021-02-08,Sim,994.0
367,2021-02-09,Sim,962.0
368,2021-02-10,Sim,1005.0
369,2021-02-11,Sim,1095.0
370,2021-02-12,Sim,1013.0
371,2021-02-13,Sim,1024.0
372,2021-02-14,Sim,974.0
373,2021-02-15,Sim,1076.0
374,2021-02-16,Sim,1023.0
375,2021-02-17,Sim,1063.0
376,2021-02-18,Sim,1114.0
377,2021-02-19,Sim,1051.0
378,2021-02-20,Sim,1108.0
379,2021-02-21,Sim,1138.0
380,2021-02-22,Sim,1149.0
381,2021-02-23,Sim,1246.0
382,2021-02-24,Sim,1273.0
383,2021-02-25,Sim,1290.0
384,2021-02-26,Sim,1382.0
385,2021-02-27,Sim,1387.0
386,2021-02-28,Sim,1392.0
387,2021-03-01,Sim,1570.0
388,2021-03-02,Sim,1660.0
389,2021-03-03,Sim,1676.0
390,2021-03-04,Sim,1726.0
391,2021-03-05,Sim,1787.0
392,2021-03-06,Sim,1880.0
393,2021-03-07,Sim,1861.0
394,2021-03-08,Sim,2073.0
395,2021-03-09,Sim,2077.0
396,2021-03-10,Sim,2186.0
397,2021-03-11,Sim,2213.0
398,2021-03-12,Sim,2355.0
399,2021-03-13,Sim,2418.0
400,2021-03-14,Sim,2481.0
401,2021-03-15,Sim,2633.0
402,2021-03-16,Sim,2717.0
403,2021-03-17,Sim,2868.0
404,2021-03-18,Sim,2817.0
405,2021-03-19,Sim,2789.0
406,2021-03-20,Sim,3029.0
407,2021-03-21,Sim,2956.0
408,2021-03-22,Sim,3160.0
409,2021-03-23,Sim,3126.0
410,2021-03-24,Sim,3215.0
411,2021-03-25,Sim,3165.0
412,2021-03-26,Sim,3185.0
413,2021-03-27,Sim,3097.0
414,2021-03-28,Sim,3216.0
415,2021-03-29,Sim,3330.0
416,2021-03-30,Sim,3093.0
417,2021-03-31,Sim,3081.0
418,2021-04-01,Sim,2929.0
419,2021-04-02,Sim,2927.0
420,2021-04-03,Sim,2928.0
421,2021-04-04,Sim,2849.0
422,2021-04-05,Sim,2895.0
423,2021-04-06,Sim,2708.0
424,2021-04-07,Sim,2729.0
425,2021-04-08,Sim,2627.0
426,2021-04-09,Sim,2568.0
427,2021-04-10,Sim,2429.0
428,2021-04-11,Sim,2427.0
429,2021-04-12,Sim,2419.0
430,2021-04-13,Sim,2290.0
431,2021-04-14,Sim,2306.0
432,2021-04-15,Sim,2187.0
433,2021-04-16,Sim,2135.0
434,2021-04-17,Sim,2014.0
435,2021-04-18,Sim,2041.0
436,2021-04-19,Sim,1959.0
437,2021-04-20,Sim,1890.0
438,2021-04-21,Sim,1730.0
439,2021-04-22,Sim,1728.0
440,2021-04-23,Sim,1755.0
441,2021-04-24,Sim,1584.0
442,2021-04-25,Sim,1661.0
443,2021-04-26,Sim,1661.0
444,2021-04-27,Sim,1446.0
445,2021-04-28,Sim,1389.0
446,2021-04-29,Sim,1310.0
447,2021-04-30,Sim,1312.0
448,2020-02-03,Sivep,0.0
449,2020-02-05,Sivep,0.0
450,2020-02-07,Sivep,0.0
451,2020-02-08,Sivep,0.0
452,2020-02-09,Sivep,0.0
453,2020-02-11,Sivep,0.0
454,2020-02-12,Sivep,0.0
455,2020-02-13,Sivep,0.0
456,2020-02-14,Sivep,0.0
457,2020-02-15,Sivep,0.0
458,2020-02-16,Sivep,0.0
459,2020-02-17,Sivep,0.0
460,2020-02-18,Sivep,0.0
461,2020-02-19,Sivep,0.0
462,2020-02-20,Sivep,0.0
463,2020-02-21,Sivep,0.0
464,2020-02-22,Sivep,0.0
465,2020-02-23,Sivep,0.0
466,2020-02-24,Sivep,0.0
467,2020-02-26,Sivep,0.0
468,2020-02-27,Sivep,0.0
469,2020-02-28,Sivep,0.0
470,2020-02-29,Sivep,0.0
471,2020-03-01,Sivep,0.0
472,2020-03-02,Sivep,0.0
473,2020-03-03,Sivep,0.0
474,2020-03-04,Sivep,0.0
475,2020-03-05,Sivep,0.0
476,2020-03-06,Sivep,0.0
477,2020-03-08,Sivep,0.0
478,2020-03-09,Sivep,0.0
479,2020-03-10,Sivep,0.0
480,2020-03-11,Sivep,0.0
481,2020-03-12,Sivep,1.0
482,2020-03-13,Sivep,0.0
483,2020-03-14,Sivep,0.0
484,2020-03-15,Sivep,2.0
485,2020-03-16,Sivep,3.0
486,2020-03-17,Sivep,4.0
487,2020-03-18,Sivep,7.0
488,2020-03-19,Sivep,7.0
489,2020-03-20,Sivep,12.0
490,2020-03-21,Sivep,14.0
491,2020-03-22,Sivep,18.0
492,2020-03-23,Sivep,33.0
493,2020-03-24,Sivep,28.0
494,2020-03-25,Sivep,31.0
495,2020-03-26,Sivep,42.0
496,2020-03-27,Sivep,45.0
497,2020-03-28,Sivep,49.0
498,2020-03-29,Sivep,51.0
499,2020-03-30,Sivep,68.0
500,2020-03-31,Sivep,80.0
501,2020-04-01,Sivep,84.0
502,2020-04-02,Sivep,105.0
503,2020-04-03,Sivep,110.0
504,2020-04-04,Sivep,122.0
505,2020-04-05,Sivep,130.0
506,2020-04-06,Sivep,120.0
507,2020-04-07,Sivep,139.0
508,2020-04-08,Sivep,139.0
509,2020-04-09,Sivep,140.0
510,2020-04-10,Sivep,166.0
511,2020-04-11,Sivep,168.0
512,2020-04-12,Sivep,191.0
513,2020-04-13,Sivep,217.0
514,2020-04-14,Sivep,197.0
515,2020-04-15,Sivep,206.0
516,2020-04-16,Sivep,232.0
517,2020-04-17,Sivep,239.0
518,2020-04-18,Sivep,248.0
519,2020-04-19,Sivep,284.0
520,2020-04-20,Sivep,293.0
521,2020-04-21,Sivep,297.0
522,2020-04-22,Sivep,321.0
523,2020-04-23,Sivep,360.0
524,2020-04-24,Sivep,410.0
525,2020-04-25,Sivep,409.0
526,2020-04-26,Sivep,415.0
527,2020-04-27,Sivep,442.0
528,2020-04-28,Sivep,483.0
529,2020-04-29,Sivep,519.0
530,2020-04-30,Sivep,472.0
531,2020-05-01,Sivep,539.0
532,2020-05-02,Sivep,582.0
533,2020-05-03,Sivep,570.0
534,2020-05-04,Sivep,611.0
535,2020-05-05,Sivep,653.0
536,2020-05-06,Sivep,587.0
537,2020-05-07,Sivep,635.0
538,2020-05-08,Sivep,686.0
539,2020-05-09,Sivep,670.0
540,2020-05-10,Sivep,688.0
541,2020-05-11,Sivep,716.0
542,2020-05-12,Sivep,755.0
543,2020-05-13,Sivep,745.0
544,2020-05-14,Sivep,765.0
545,2020-05-15,Sivep,761.0
546,2020-05-16,Sivep,754.0
547,2020-05-17,Sivep,750.0
548,2020-05-18,Sivep,774.0
549,2020-05-19,Sivep,797.0
550,2020-05-20,Sivep,798.0
551,2020-05-21,Sivep,775.0
552,2020-05-22,Sivep,858.0
553,2020-05-23,Sivep,805.0
554,2020-05-24,Sivep,746.0
555,2020-05-25,Sivep,828.0
556,2020-05-26,Sivep,780.0
557,2020-05-27,Sivep,815.0
558,2020-05-28,Sivep,809.0
559,2020-05-29,Sivep,852.0
560,2020-05-30,Sivep,816.0
561,2020-05-31,Sivep,780.0
562,2020-06-01,Sivep,813.0
563,2020-06-02,Sivep,796.0
564,2020-06-03,Sivep,829.0
565,2020-06-04,Sivep,829.0
566,2020-06-05,Sivep,794.0
567,2020-06-06,Sivep,862.0
568,2020-06-07,Sivep,784.0
569,2020-06-08,Sivep,791.0
