 Procedimentos hospitalares do SUS - por local de internação - Brasil
AIH aprovadasInternaçõesValor totalValor serviços hospitalaresVal serv hosp - compl federalVal serv hosp - compl gestorValor serviços profissionaisVal serv prof - compl federalVal serv prof - compl gestorValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Município
Procedimento: 0303010223 TRATAMENTO DE INFECÇÃO PELO CORONAVIRUS – COVID 19
Período:Jun/2020
"Município";"AIH_aprovadas";"Internações";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"150555 Pau D'Arco";6;6;9000,00;7175,94;-;-;1824,06;-;-;1500,00;1500,00;26;4,3;-;-
"150580 Portel";19;19;28500,00;22723,81;-;-;5776,19;-;-;1500,00;1500,00;68;3,6;-;-
"150600 Prainha";29;29;43516,00;34699,71;-;-;8816,29;-;-;1500,55;1500,55;125;4,3;3;10,34
"150613 Redenção";48;48;75937,30;61279,03;-;-;14658,27;-;-;1582,03;1582,03;202;4,2;6;12,50
"150616 Rio Maria";12;12;18024,00;14375,88;-;-;3648,12;-;-;1502,00;1502,00;128;10,7;2;16,67
"150618 Rondon do Pará";22;22;33000,00;26311,78;-;-;6688,22;-;-;1500,00;1500,00;72;3,3;-;-
"150620 Salinópolis";42;42;63000,00;50231,58;-;-;12768,42;-;-;1500,00;1500,00;156;3,7;9;21,43
"150650 Santa Izabel do Pará";20;20;30000,00;23919,80;-;-;6080,20;-;-;1500,00;1500,00;204;10,2;6;30,00
"150658 Santa Maria das Barreiras";3;3;4500,00;3587,97;-;-;912,03;-;-;1500,00;1500,00;7;2,3;-;-
"150670 Santana do Araguaia";10;10;15000,00;11959,90;-;-;3040,10;-;-;1500,00;1500,00;63;6,3;-;-
"150680 Santarém";352;352;2466369,55;2109208,81;-;-;357160,74;-;-;7006,73;7006,73;2875;8,2;132;37,50
"150700 Santo Antônio do Tauá";50;50;75280,00;60079,50;-;-;15200,50;-;-;1505,60;1505,60;246;4,9;-;-
"150715 São Domingos do Araguaia";5;5;7791,00;6270,95;-;-;1520,05;-;-;1558,20;1558,20;17;3,4;-;-
"150720 São Domingos do Capim";35;35;52500,00;41859,65;-;-;10640,35;-;-;1500,00;1500,00;300;8,6;-;-
"150730 São Félix do Xingu";10;10;15176,00;12135,90;-;-;3040,10;-;-;1517,60;1517,60;42;4,2;1;10,00
"150747 São João de Pirabas";24;24;36552,00;29255,76;-;-;7296,24;-;-;1523,00;1523,00;94;3,9;-;-
"150760 São Miguel do Guamá";33;33;49852,00;39819,67;-;-;10032,33;-;-;1510,67;1510,67;198;6,0;1;3,03
"150780 Senador José Porfírio";11;11;16500,00;13155,89;-;-;3344,11;-;-;1500,00;1500,00;61;5,5;-;-
"150797 Terra Santa";3;3;4620,00;3707,97;-;-;912,03;-;-;1540,00;1540,00;15;5,0;-;-
"150803 Tracuateua";2;2;3016,00;2407,98;-;-;608,02;-;-;1508,00;1508,00;2;1,0;-;-
"150805 Trairão";14;14;21000,00;16743,86;-;-;4256,14;-;-;1500,00;1500,00;73;5,2;2;14,29
"150808 Tucumã";42;42;64586,67;51818,25;-;-;12768,42;-;-;1537,78;1537,78;160;3,8;3;7,14
"150812 Ulianópolis";6;6;9168,00;7343,94;-;-;1824,06;-;-;1528,00;1528,00;21;3,5;-;-
"150815 Uruará";35;35;52500,00;41859,65;-;-;10640,35;-;-;1500,00;1500,00;93;2,7;1;2,86
"150820 Vigia";15;15;22572,00;18011,85;-;-;4560,15;-;-;1504,80;1504,80;60;4,0;2;13,33
"150830 Viseu";29;29;43620,00;34803,71;-;-;8816,29;-;-;1504,14;1504,14;134;4,6;3;10,34
"150835 Vitória do Xingu";35;35;53980,00;43339,65;-;-;10640,35;-;-;1542,29;1542,29;186;5,3;-;-
"150840 Xinguara";70;70;114275,88;92995,18;-;-;21280,70;-;-;1632,51;1632,51;272;3,9;2;2,86
"160020 Calçoene";2;2;3000,00;2391,98;-;-;608,02;-;-;1500,00;1500,00;5;2,5;-;-
"160027 Laranjal do Jari";5;5;7524,00;6003,95;-;-;1520,05;-;-;1504,80;1504,80;14;2,8;-;-
