 Procedimentos hospitalares do SUS - por local de internação - Brasil
Valor total por Município e Ano/mês processamento
Procedimento: 0303010223 TRATAMENTO DE INFECÇÃO PELO CORONAVIRUS – COVID 19
Período:Mar-Dez/2020
"Município";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"Total"
"240020 Açu";-;-;21052,70;34838,98;30495,86;35243,14;48586,26;32812,77;120694,54;323724,25
"240050 Alexandria";-;-;-;-;1516,00;4540,00;1500,00;3008,00;7532,00;18096,00
"240100 Apodi";1500,00;45304,00;52548,00;73317,02;57808,60;60656,00;32464,18;29380,24;63389,08;416367,12
"240110 Areia Branca";-;49836,00;40868,00;10724,00;1508,00;3016,00;-;-;1524,00;107476,00
"240145 Baraúna";-;-;4500,00;-;-;-;-;-;-;4500,00
"240180 Brejinho";-;-;1500,00;4500,00;1500,00;-;-;-;-;7500,00
"240200 Caicó";-;132900,00;318432,00;1338598,63;1336995,32;1328633,49;266184,10;60556,42;784867,87;5567167,83
"240230 Caraúbas";-;-;-;-;-;4500,00;-;-;-;4500,00
"240250 Carnaubais";-;-;-;1500,00;-;1500,00;-;-;-;3000,00
"240260 Ceará-Mirim";-;-;-;-;4604,00;-;-;-;-;4604,00
"240310 Currais Novos";-;-;-;-;10328,50;14377,16;11273,56;14169,76;7290,99;57439,97
