 Procedimentos hospitalares do SUS - por local de internação - Brasil
Óbitos por Município e Ano/mês processamento
Procedimento: 0303010223 TRATAMENTO DE INFECÇÃO PELO CORONAVIRUS – COVID 19
Período:Mar-Dez/2020
"Município";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"Total"
"430040 Alegrete";-;-;3;7;3;5;4;2;7;31
"430060 Alvorada";-;-;-;15;14;2;6;6;15;58
"430080 Antônio Prado";-;-;-;-;1;1;-;1;1;4
"430100 Arroio do Meio";-;-;-;-;-;-;-;-;1;1
"430120 Arroio do Tigre";-;-;-;-;-;-;-;2;-;2
"430130 Arroio Grande";-;-;-;-;-;1;-;-;-;1
"430160 Bagé";-;-;1;6;11;7;2;7;21;55
"430210 Bento Gonçalves";-;7;-;5;9;6;1;-;6;34
"430235 Bom Princípio";-;-;-;-;-;-;-;-;2;2
"430240 Bom Retiro do Sul";-;1;-;-;-;-;-;-;1;2
"430245 Boqueirão do Leão";-;-;-;1;-;-;-;-;-;1
"430280 Caçapava do Sul";-;1;2;-;-;-;-;1;-;4
"430300 Cachoeira do Sul";1;2;1;10;9;2;1;2;5;33
"430310 Cachoeirinha";-;-;-;9;3;11;8;3;4;38
"430350 Camaquã";-;1;3;6;2;4;2;18;9;45
"430370 Campina das Missões";-;-;-;-;-;-;2;-;-;2
"430420 Candelária";-;-;-;-;-;-;1;-;-;1
"430440 Canela";-;-;-;-;3;1;1;2;4;11
"430450 Canguçu";-;-;-;-;-;2;1;3;2;8
"430460 Canoas";-;19;22;29;95;54;35;59;38;351
"430463 Capão da Canoa";1;-;-;6;3;3;2;2;8;25
"430470 Carazinho";-;-;1;1;3;3;7;6;7;28
"430510 Caxias do Sul";-;-;7;17;32;31;25;17;17;146
"430520 Cerro Largo";-;-;-;-;-;-;-;-;2;2
"430535 Charqueadas";-;1;-;1;5;-;-;1;1;9
"430600 Crissiumal";-;-;-;-;1;-;-;-;-;1
"430610 Cruz Alta";-;5;11;13;3;12;14;18;22;98
"430630 David Canabarro";-;-;-;-;1;-;-;-;1;2
"430640 Dois Irmãos";-;-;-;-;-;-;1;-;-;1
"430650 Dom Feliciano";-;-;-;1;-;-;-;-;-;1
"430660 Dom Pedrito";-;-;-;2;5;3;-;5;10;25
"430680 Encantado";-;-;1;2;4;7;2;4;7;27
"430700 Erechim";-;1;2;7;7;8;13;6;7;51
"430750 Espumoso";-;1;-;4;2;1;3;4;6;21
"430760 Estância Velha";-;-;-;3;2;2;4;2;1;14
"430770 Esteio";-;-;-;-;3;17;16;8;11;55
"430780 Estrela";-;-;4;2;3;-;1;-;-;10
