,DataObito,Quantidade_sim,Quantidade_sivep,Diferenca
191,2020-08-17,847,754.0,93.0
192,2020-08-18,851,741.0,110.0
193,2020-08-19,827,776.0,51.0
194,2020-08-20,782,713.0,69.0
195,2020-08-21,777,722.0,55.0
196,2020-08-22,816,758.0,58.0
197,2020-08-23,779,710.0,69.0
198,2020-08-24,808,755.0,53.0
199,2020-08-25,778,699.0,79.0
200,2020-08-26,766,710.0,56.0
201,2020-08-27,750,688.0,62.0
202,2020-08-28,775,723.0,52.0
203,2020-08-29,723,673.0,50.0
204,2020-08-30,774,710.0,64.0
205,2020-08-31,790,722.0,68.0
206,2020-09-01,731,694.0,37.0
207,2020-09-02,746,672.0,74.0
208,2020-09-03,695,649.0,46.0
209,2020-09-04,736,679.0,57.0
210,2020-09-05,715,639.0,76.0
211,2020-09-06,711,645.0,66.0
212,2020-09-07,731,664.0,67.0
213,2020-09-08,697,650.0,47.0
214,2020-09-09,646,584.0,62.0
215,2020-09-10,646,572.0,74.0
216,2020-09-11,704,649.0,55.0
217,2020-09-12,673,635.0,38.0
218,2020-09-13,650,591.0,59.0
219,2020-09-14,654,586.0,68.0
220,2020-09-15,641,574.0,67.0
221,2020-09-16,663,579.0,84.0
222,2020-09-17,626,573.0,53.0
223,2020-09-18,594,571.0,23.0
224,2020-09-19,643,586.0,57.0
225,2020-09-20,570,524.0,46.0
226,2020-09-21,568,536.0,32.0
227,2020-09-22,572,516.0,56.0
228,2020-09-23,531,488.0,43.0
229,2020-09-24,583,536.0,47.0
230,2020-09-25,588,553.0,35.0
231,2020-09-26,554,515.0,39.0
232,2020-09-27,527,490.0,37.0
233,2020-09-28,538,524.0,14.0
234,2020-09-29,613,582.0,31.0
235,2020-09-30,537,500.0,37.0
236,2020-10-01,615,545.0,70.0
237,2020-10-02,591,536.0,55.0
238,2020-10-03,531,494.0,37.0
239,2020-10-04,565,497.0,68.0
240,2020-10-05,557,506.0,51.0
241,2020-10-06,524,471.0,53.0
242,2020-10-07,534,460.0,74.0
243,2020-10-08,546,488.0,58.0
244,2020-10-09,518,461.0,57.0
245,2020-10-10,522,477.0,45.0
246,2020-10-11,471,435.0,36.0
247,2020-10-12,444,389.0,55.0
248,2020-10-13,469,401.0,68.0
249,2020-10-14,441,422.0,19.0
250,2020-10-15,456,413.0,43.0
251,2020-10-16,450,408.0,42.0
252,2020-10-17,383,351.0,32.0
253,2020-10-18,418,376.0,42.0
254,2020-10-19,426,407.0,19.0
255,2020-10-20,391,362.0,29.0
256,2020-10-21,447,392.0,55.0
257,2020-10-22,417,368.0,49.0
258,2020-10-23,413,380.0,33.0
259,2020-10-24,376,339.0,37.0
260,2020-10-25,451,405.0,46.0
261,2020-10-26,402,388.0,14.0
262,2020-10-27,391,365.0,26.0
263,2020-10-28,436,393.0,43.0
264,2020-10-29,434,385.0,49.0
265,2020-10-30,391,384.0,7.0
266,2020-10-31,364,311.0,53.0
267,2020-11-01,391,347.0,44.0
268,2020-11-02,372,336.0,36.0
269,2020-11-03,402,361.0,41.0
270,2020-11-04,419,385.0,34.0
271,2020-11-05,426,376.0,50.0
272,2020-11-06,423,364.0,59.0
273,2020-11-07,429,381.0,48.0
274,2020-11-08,403,363.0,40.0
275,2020-11-09,382,365.0,17.0
276,2020-11-10,412,367.0,45.0
277,2020-11-11,435,406.0,29.0
278,2020-11-12,425,381.0,44.0
279,2020-11-13,438,400.0,38.0
280,2020-11-14,423,371.0,52.0
281,2020-11-15,419,367.0,52.0
282,2020-11-16,482,423.0,59.0
283,2020-11-17,486,401.0,85.0
284,2020-11-18,446,408.0,38.0
285,2020-11-19,483,438.0,45.0
286,2020-11-20,512,426.0,86.0
287,2020-11-21,505,438.0,67.0
288,2020-11-22,539,478.0,61.0
289,2020-11-23,567,470.0,97.0
290,2020-11-24,566,488.0,78.0
291,2020-11-25,564,472.0,92.0
292,2020-11-26,620,510.0,110.0
293,2020-11-27,587,517.0,70.0
294,2020-11-28,657,529.0,128.0
295,2020-11-29,642,585.0,57.0
296,2020-11-30,717,611.0,106.0
297,2020-12-01,693,609.0,84.0
298,2020-12-02,755,636.0,119.0
299,2020-12-03,739,608.0,131.0
300,2020-12-04,789,638.0,151.0
301,2020-12-05,717,630.0,87.0
302,2020-12-06,723,606.0,117.0
303,2020-12-07,779,660.0,119.0
304,2020-12-08,803,667.0,136.0
305,2020-12-09,812,684.0,128.0
306,2020-12-10,858,692.0,166.0
307,2020-12-11,831,725.0,106.0
308,2020-12-12,858,716.0,142.0
309,2020-12-13,891,775.0,116.0
310,2020-12-14,874,730.0,144.0
311,2020-12-15,971,761.0,210.0
312,2020-12-16,915,781.0,134.0
313,2020-12-17,967,775.0,192.0
314,2020-12-18,944,786.0,158.0
315,2020-12-19,941,807.0,134.0
316,2020-12-20,959,786.0,173.0
317,2020-12-21,930,754.0,176.0
318,2020-12-22,901,776.0,125.0
319,2020-12-23,994,849.0,145.0
320,2020-12-24,877,711.0,166.0
321,2020-12-25,920,780.0,140.0
322,2020-12-26,867,745.0,122.0
323,2020-12-27,913,751.0,162.0
324,2020-12-28,900,765.0,135.0
325,2020-12-29,935,799.0,136.0
326,2020-12-30,893,764.0,129.0
327,2020-12-31,905,760.0,145.0
328,2021-01-01,914,755.0,159.0
329,2021-01-02,965,835.0,130.0
330,2021-01-03,953,787.0,166.0
331,2021-01-04,940,792.0,148.0
332,2021-01-05,970,778.0,192.0
333,2021-01-06,941,759.0,182.0
334,2021-01-07,998,857.0,141.0
335,2021-01-08,1056,873.0,183.0
336,2021-01-09,1026,856.0,170.0
337,2021-01-10,1015,859.0,156.0
338,2021-01-11,1076,895.0,181.0
339,2021-01-12,1063,894.0,169.0
340,2021-01-13,1022,855.0,167.0
341,2021-01-14,1041,869.0,172.0
342,2021-01-15,1048,871.0,177.0
343,2021-01-16,1078,855.0,223.0
344,2021-01-17,1107,879.0,228.0
345,2021-01-18,1118,910.0,208.0
346,2021-01-19,1135,921.0,214.0
347,2021-01-20,1073,867.0,206.0
348,2021-01-21,1186,949.0,237.0
349,2021-01-22,1113,923.0,190.0
350,2021-01-23,1073,878.0,195.0
351,2021-01-24,1130,942.0,188.0
352,2021-01-25,1118,940.0,178.0
353,2021-01-26,1129,934.0,195.0
354,2021-01-27,1088,933.0,155.0
355,2021-01-28,1049,891.0,158.0
356,2021-01-29,1071,889.0,182.0
357,2021-01-30,1118,961.0,157.0
358,2021-01-31,1044,883.0,161.0
359,2021-02-01,1079,879.0,200.0
360,2021-02-02,1076,902.0,174.0
361,2021-02-03,1062,891.0,171.0
362,2021-02-04,1063,910.0,153.0
363,2021-02-05,1002,853.0,149.0
364,2021-02-06,1055,889.0,166.0
365,2021-02-07,923,832.0,91.0
366,2021-02-08,994,865.0,129.0
367,2021-02-09,962,853.0,109.0
368,2021-02-10,1005,885.0,120.0
369,2021-02-11,1095,926.0,169.0
370,2021-02-12,1013,868.0,145.0
371,2021-02-13,1024,893.0,131.0
372,2021-02-14,974,822.0,152.0
373,2021-02-15,1076,914.0,162.0
374,2021-02-16,1023,874.0,149.0
375,2021-02-17,1063,925.0,138.0
376,2021-02-18,1114,946.0,168.0
377,2021-02-19,1051,952.0,99.0
378,2021-02-20,1108,961.0,147.0
379,2021-02-21,1138,950.0,188.0
380,2021-02-22,1149,1004.0,145.0
381,2021-02-23,1246,1070.0,176.0
382,2021-02-24,1273,1137.0,136.0
383,2021-02-25,1290,1103.0,187.0
384,2021-02-26,1382,1185.0,197.0
385,2021-02-27,1387,1207.0,180.0
386,2021-02-28,1392,1168.0,224.0
387,2021-03-01,1570,1350.0,220.0
388,2021-03-02,1660,1402.0,258.0
389,2021-03-03,1676,1447.0,229.0
390,2021-03-04,1726,1489.0,237.0
391,2021-03-05,1787,1484.0,303.0
392,2021-03-06,1880,1524.0,356.0
393,2021-03-07,1861,1611.0,250.0
394,2021-03-08,2073,1751.0,322.0
395,2021-03-09,2077,1735.0,342.0
396,2021-03-10,2186,1843.0,343.0
397,2021-03-11,2213,1844.0,369.0
398,2021-03-12,2355,1888.0,467.0
399,2021-03-13,2418,2016.0,402.0
400,2021-03-14,2481,2043.0,438.0
401,2021-03-15,2633,2105.0,528.0
402,2021-03-16,2717,2236.0,481.0
403,2021-03-17,2868,2302.0,566.0
404,2021-03-18,2817,2247.0,570.0
405,2021-03-19,2789,2184.0,605.0
406,2021-03-20,3029,2436.0,593.0
407,2021-03-21,2956,2386.0,570.0
408,2021-03-22,3160,2537.0,623.0
409,2021-03-23,3126,2543.0,583.0
410,2021-03-24,3215,2608.0,607.0
411,2021-03-25,3165,2581.0,584.0
412,2021-03-26,3185,2600.0,585.0
413,2021-03-27,3097,2580.0,517.0
414,2021-03-28,3216,2605.0,611.0
415,2021-03-29,3330,2691.0,639.0
416,2021-03-30,3093,2557.0,536.0
417,2021-03-31,3081,2509.0,572.0
418,2021-04-01,2929,2486.0,443.0
419,2021-04-02,2927,2489.0,438.0
420,2021-04-03,2928,2481.0,447.0
421,2021-04-04,2849,2436.0,413.0
422,2021-04-05,2895,2559.0,336.0
423,2021-04-06,2708,2390.0,318.0
424,2021-04-07,2729,2338.0,391.0
425,2021-04-08,2627,2378.0,249.0
426,2021-04-09,2568,2337.0,231.0
427,2021-04-10,2429,2253.0,176.0
428,2021-04-11,2427,2179.0,248.0
429,2021-04-12,2419,2192.0,227.0
430,2021-04-13,2290,2209.0,81.0
431,2021-04-14,2306,2160.0,146.0
432,2021-04-15,2187,2138.0,49.0
433,2021-04-16,2135,2164.0,-29.0
434,2021-04-17,2014,2001.0,13.0
435,2021-04-18,2041,2023.0,18.0
436,2021-04-19,1959,2031.0,-72.0
437,2021-04-20,1890,1919.0,-29.0
438,2021-04-21,1730,1846.0,-116.0
439,2021-04-22,1728,1855.0,-127.0
440,2021-04-23,1755,1887.0,-132.0
441,2021-04-24,1584,1796.0,-212.0
442,2021-04-25,1661,1824.0,-163.0
443,2021-04-26,1661,1856.0,-195.0
444,2021-04-27,1446,1765.0,-319.0
445,2021-04-28,1389,1735.0,-346.0
446,2021-04-29,1310,1633.0,-323.0
447,2021-04-30,1312,1654.0,-342.0
