 Procedimentos hospitalares do SUS - por local de internação - Brasil
AIH aprovadasInternaçõesValor totalValor serviços hospitalaresVal serv hosp - compl federalVal serv hosp - compl gestorValor serviços profissionaisVal serv prof - compl federalVal serv prof - compl gestorValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Município
Procedimento: 0303010223 TRATAMENTO DE INFECÇÃO PELO CORONAVIRUS – COVID 19
Período:Ago/2020
"Município";"AIH_aprovadas";"Internações";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"520470 Campinorte";1;1;1500,00;1195,99;-;-;304,01;-;-;1500,00;1500,00;2;2,0;-;-
"520505 Castelândia";1;1;1500,00;1195,99;-;-;304,01;-;-;1500,00;1500,00;1;1,0;-;-
"520510 Catalão";87;87;841987,44;716829,72;-;-;125157,72;-;-;9678,02;9678,02;645;7,4;16;18,39
"520520 Caturaí";4;4;6000,00;4783,96;-;-;1216,04;-;-;1500,00;1500,00;6;1,5;-;-
"520547 Chapadão do Céu";15;15;22500,00;17939,85;-;-;4560,15;-;-;1500,00;1500,00;51;3,4;-;-
"520551 Cocalzinho de Goiás";4;4;6000,00;4783,96;-;-;1216,04;-;-;1500,00;1500,00;14;3,5;-;-
"520620 Cristalina";1;1;1500,00;1195,99;-;-;304,01;-;-;1500,00;1500,00;7;7,0;-;-
"520640 Crixás";1;1;1500,00;1195,99;-;-;304,01;-;-;1500,00;1500,00;3;3,0;-;-
"520680 Damolândia";7;7;10500,00;8371,93;-;-;2128,07;-;-;1500,00;1500,00;14;2,0;-;-
"520740 Edéia";3;3;4500,00;3587,97;-;-;912,03;-;-;1500,00;1500,00;20;6,7;-;-
"520780 Firminópolis";3;3;4500,00;3587,97;-;-;912,03;-;-;1500,00;1500,00;13;4,3;-;-
"520800 Formosa";7;7;10620,00;8491,93;-;-;2128,07;-;-;1517,14;1517,14;13;1,9;3;42,86
"520860 Goianésia";15;15;22772,00;18211,85;-;-;4560,15;-;-;1518,13;1518,13;48;3,2;-;-
"520870 Goiânia";1121;1121;4308132,19;3637835,47;-;-;670296,72;-;-;3843,12;3843,12;7487;6,7;249;22,21
