 Procedimentos hospitalares do SUS - por local de internação - Brasil
AIH aprovadasInternaçõesValor totalValor serviços hospitalaresVal serv hosp - compl federalVal serv hosp - compl gestorValor serviços profissionaisVal serv prof - compl federalVal serv prof - compl gestorValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Município
Procedimento: 0303010223 TRATAMENTO DE INFECÇÃO PELO CORONAVIRUS – COVID 19
Período:Jul/2020
"Município";"AIH_aprovadas";"Internações";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"130290 Maués";14;14;21000,00;16743,86;-;-;4256,14;-;-;1500,00;1500,00;70;5,0;-;-
"130300 Nhamundá";1;1;1500,00;1195,99;-;-;304,01;-;-;1500,00;1500,00;2;2,0;-;-
"130320 Novo Airão";4;4;6136,00;4919,96;-;-;1216,04;-;-;1534,00;1534,00;17;4,3;-;-
"130340 Parintins";162;162;251849,52;202599,90;-;-;49249,62;-;-;1554,63;1554,63;1062;6,6;15;9,26
"130353 Presidente Figueiredo";17;17;26124,00;20955,83;-;-;5168,17;-;-;1536,71;1536,71;83;4,9;-;-
"130356 Rio Preto da Eva";9;9;13500,00;10763,91;-;-;2736,09;-;-;1500,00;1500,00;42;4,7;-;-
"130370 Santo Antônio do Içá";18;18;27000,00;21527,82;-;-;5472,18;-;-;1500,00;1500,00;99;5,5;2;11,11
"130390 São Paulo de Olivença";15;15;22500,00;17939,85;-;-;4560,15;-;-;1500,00;1500,00;82;5,5;3;20,00
"130395 São Sebastião do Uatumã";14;14;21000,00;16743,86;-;-;4256,14;-;-;1500,00;1500,00;44;3,1;-;-
"130406 Tabatinga";22;22;35357,43;28638,25;-;-;6719,18;-;-;1607,16;1607,16;161;7,3;4;18,18
"130420 Tefé";77;77;118092,00;94683,23;-;-;23408,77;-;-;1533,66;1533,66;406;5,3;13;16,88
"130423 Tonantins";11;11;16500,00;13155,89;-;-;3344,11;-;-;1500,00;1500,00;60;5,5;-;-
"130426 Uarini";18;18;27496,00;22023,82;-;-;5472,18;-;-;1527,56;1527,56;61;3,4;1;5,56
"130430 Urucará";25;25;37700,00;30099,75;-;-;7600,25;-;-;1508,00;1508,00;83;3,3;1;4,00
"140005 Alto Alegre";4;4;6000,00;4783,96;-;-;1216,04;-;-;1500,00;1500,00;13;3,3;-;-
"140010 Boa Vista";239;239;945956,73;794068,32;-;-;151888,41;-;-;3957,98;3957,98;2553;10,7;64;26,78
"140023 Caroebe";3;3;4564,00;3651,97;-;-;912,03;-;-;1521,33;1521,33;8;2,7;-;-
"140030 Mucajaí";6;6;9000,00;7175,94;-;-;1824,06;-;-;1500,00;1500,00;30;5,0;-;-
"140045 Pacaraima";5;5;8169,73;6537,46;-;-;1632,27;-;-;1633,95;1633,95;54;10,8;2;40,00
"140047 Rorainópolis";24;24;38408,50;30961,33;-;-;7447,17;-;-;1600,35;1600,35;224;9,3;2;8,33
"140050 São João da Baliza";2;2;3040,00;2431,98;-;-;608,02;-;-;1520,00;1520,00;9;4,5;-;-
"150010 Abaetetuba";30;30;47565,82;38329,42;-;-;9236,40;-;-;1585,53;1585,53;207;6,9;4;13,33
"150034 Água Azul do Norte";10;10;15128,00;12087,90;-;-;3040,10;-;-;1512,80;1512,80;32;3,2;-;-
"150040 Alenquer";28;28;42696,48;34153,24;-;-;8543,24;-;-;1524,87;1524,87;118;4,2;9;32,14
"150050 Almeirim";17;17;25500,00;20331,83;-;-;5168,17;-;-;1500,00;1500,00;65;3,8;-;-
"150060 Altamira";64;64;453162,40;383704,84;-;-;69457,56;-;-;7080,66;7080,66;483;7,5;24;37,50
"150080 Ananindeua";90;90;339098,56;285287,03;-;-;53811,53;-;-;3767,76;3767,76;614;6,8;3;3,33
"150085 Anapu";5;5;7700,00;6179,95;-;-;1520,05;-;-;1540,00;1540,00;25;5,0;-;-
"150090 Augusto Corrêa";45;45;68236,00;54555,55;-;-;13680,45;-;-;1516,36;1516,36;344;7,6;-;-
"150095 Aurora do Pará";8;8;12264,00;9831,92;-;-;2432,08;-;-;1533,00;1533,00;47;5,9;-;-
"150140 Belém";708;708;3600727,56;3042377,89;-;-;558349,67;-;-;5085,77;5085,77;7521;10,6;194;27,40
"150157 Bom Jesus do Tocantins";20;20;30000,00;23919,80;-;-;6080,20;-;-;1500,00;1500,00;55;2,8;-;-
