 Procedimentos hospitalares do SUS - por local de internação - Brasil
Dias permanência por Município e Ano/mês processamento
Procedimento: 0303010223 TRATAMENTO DE INFECÇÃO PELO CORONAVIRUS – COVID 19
Período:Mar-Dez/2020
"Município";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"Total"
"521830 Posse";-;-;-;12;109;28;16;-;-;165
"521850 Quirinópolis";-;7;38;68;180;234;229;118;101;975
"521860 Rialma";-;-;-;18;22;49;9;15;-;113
"521880 Rio Verde";-;-;64;246;689;1694;1534;595;686;5508
"521890 Rubiataba";-;2;4;-;7;3;10;9;13;48
"521920 Santa Cruz de Goiás";-;-;-;-;-;4;-;-;-;4
"521930 Santa Helena de Goiás";-;-;60;238;320;297;264;492;167;1838
"521970 Santa Terezinha de Goiás";-;-;-;-;-;-;7;-;-;7
"521975 Santo Antônio do Descoberto";-;-;-;49;48;67;36;25;40;265
"522010 São Luís de Montes Belos";-;-;-;-;-;198;500;481;393;1572
"522020 São Miguel do Araguaia";-;-;-;4;6;11;3;3;1;28
"522040 São Simão";-;-;20;53;46;46;30;14;14;223
"522045 Senador Canedo";-;-;-;-;23;-;-;-;-;23
"522068 Simolândia";-;-;-;7;-;1;13;-;-;21
"522100 Taquaral de Goiás";-;-;-;-;-;-;-;3;-;3
"522140 Trindade";-;42;223;496;560;595;429;49;152;2546
"522155 Turvelândia";-;-;1;2;-;6;9;4;-;22
"522185 Valparaíso de Goiás";-;-;20;99;42;16;14;39;56;286
"522200 Vianópolis";-;-;-;4;15;13;5;5;-;42
"530010 Brasília";306;2830;7854;14571;18962;11201;11367;8331;7648;83070
"Total";22954;213491;424378;637395;641229;533005;454937;407558;437905;3772852
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
