 Procedimentos hospitalares do SUS - por local de internação - Brasil
AIH aprovadasInternaçõesValor totalValor serviços hospitalaresVal serv hosp - compl federalVal serv hosp - compl gestorValor serviços profissionaisVal serv prof - compl federalVal serv prof - compl gestorValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Município
Procedimento: 0303010223 TRATAMENTO DE INFECÇÃO PELO CORONAVIRUS – COVID 19
Período:Out/2020
"Município";"AIH_aprovadas";"Internações";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"150293 Dom Eliseu";1;1;1508,00;1203,99;-;-;304,01;-;-;1508,00;1508,00;1;1,0;1;100,00
"150295 Eldorado do Carajás";1;1;1516,00;1211,99;-;-;304,01;-;-;1516,00;1516,00;2;2,0;-;-
"150307 Garrafão do Norte";2;2;3080,00;2471,98;-;-;608,02;-;-;1540,00;1540,00;10;5,0;-;-
"150320 Igarapé-Açu";4;4;6232,12;5008,34;-;-;1223,78;-;-;1558,03;1558,03;37;9,3;-;-
"150330 Igarapé-Miri";2;2;3104,00;2495,98;-;-;608,02;-;-;1552,00;1552,00;13;6,5;-;-
"150345 Ipixuna do Pará";35;35;53432,00;42791,65;-;-;10640,35;-;-;1526,63;1526,63;160;4,6;1;2,86
"150360 Itaituba";32;32;49448,13;39626,93;-;-;9821,20;-;-;1545,25;1545,25;187;5,8;6;18,75
"150370 Itupiranga";28;28;42001,00;33488,72;-;-;8512,28;-;-;1500,04;1500,04;68;2,4;-;-
"150380 Jacundá";13;13;19500,00;15547,87;-;-;3952,13;-;-;1500,00;1500,00;41;3,2;-;-
"150390 Juruti";5;5;7500,00;5979,95;-;-;1520,05;-;-;1500,00;1500,00;16;3,2;1;20,00
"150400 Limoeiro do Ajuru";6;6;9048,00;7223,94;-;-;1824,06;-;-;1508,00;1508,00;24;4,0;-;-
"150405 Mãe do Rio";8;8;12144,00;9711,92;-;-;2432,08;-;-;1518,00;1518,00;19;2,4;-;-
"150420 Marabá";118;118;258009,24;212776,54;-;-;45232,70;-;-;2186,52;2186,52;1085;9,2;22;18,64
"150442 Marituba";1;1;8342,18;7088,97;-;-;1253,21;-;-;8342,18;8342,18;14;14,0;-;-
"150460 Mocajuba";3;3;4604,00;3691,97;-;-;912,03;-;-;1534,67;1534,67;15;5,0;-;-
"150480 Monte Alegre";5;5;7716,90;6196,85;-;-;1520,05;-;-;1543,38;1543,38;26;5,2;-;-
"150495 Nova Esperança do Piriá";9;9;13500,00;10763,91;-;-;2736,09;-;-;1500,00;1500,00;44;4,9;-;-
"150503 Novo Progresso";4;4;6045,95;4829,91;-;-;1216,04;-;-;1511,49;1511,49;12;3,0;1;25,00
"150520 Oeiras do Pará";27;27;40500,00;32291,73;-;-;8208,27;-;-;1500,00;1500,00;129;4,8;-;-
"150530 Oriximiná";4;4;6408,00;5191,96;-;-;1216,04;-;-;1602,00;1602,00;51;12,8;1;25,00
"150540 Ourém";2;2;3032,00;2423,98;-;-;608,02;-;-;1516,00;1516,00;5;2,5;-;-
"150543 Ourilândia do Norte";6;6;9000,00;7175,94;-;-;1824,06;-;-;1500,00;1500,00;27;4,5;-;-
"150548 Pacajá";3;3;4580,00;3667,97;-;-;912,03;-;-;1526,67;1526,67;11;3,7;-;-
"150550 Paragominas";51;51;114140,15;94160,84;-;-;19979,31;-;-;2238,04;2238,04;332;6,5;3;5,88
"150553 Parauapebas";30;30;68177,36;56321,84;-;-;11855,52;-;-;2272,58;2272,58;179;6,0;8;26,67
"150600 Prainha";13;13;19508,00;15555,87;-;-;3952,13;-;-;1500,62;1500,62;60;4,6;2;15,38
"150613 Redenção";24;24;47419,90;39676,17;-;-;7743,73;-;-;1975,83;1975,83;214;8,9;7;29,17
"150616 Rio Maria";1;1;1508,00;1203,99;-;-;304,01;-;-;1508,00;1508,00;6;6,0;-;-
"150618 Rondon do Pará";9;9;13500,00;10763,91;-;-;2736,09;-;-;1500,00;1500,00;41;4,6;-;-
"150619 Rurópolis";12;12;18000,00;14351,88;-;-;3648,12;-;-;1500,00;1500,00;111;9,3;-;-
"150620 Salinópolis";3;3;4500,00;3587,97;-;-;912,03;-;-;1500,00;1500,00;15;5,0;2;66,67
"150650 Santa Izabel do Pará";3;3;4500,00;3587,97;-;-;912,03;-;-;1500,00;1500,00;27;9,0;-;-
"150670 Santana do Araguaia";13;13;19500,00;15547,87;-;-;3952,13;-;-;1500,00;1500,00;57;4,4;-;-
"150680 Santarém";74;74;229327,49;192695,99;-;-;36631,50;-;-;3099,02;3099,02;803;10,9;20;27,03
"150700 Santo Antônio do Tauá";3;3;4516,00;3603,97;-;-;912,03;-;-;1505,33;1505,33;11;3,7;-;-
"150715 São Domingos do Araguaia";11;11;16597,00;13252,89;-;-;3344,11;-;-;1508,82;1508,82;30;2,7;-;-
"150745 São Geraldo do Araguaia";1;1;1500,00;1195,99;-;-;304,01;-;-;1500,00;1500,00;2;2,0;-;-
"150747 São João de Pirabas";4;4;6096,00;4879,96;-;-;1216,04;-;-;1524,00;1524,00;20;5,0;-;-
"150760 São Miguel do Guamá";16;16;24224,78;19360,62;-;-;4864,16;-;-;1514,05;1514,05;73;4,6;1;6,25
"150797 Terra Santa";12;12;18480,00;14831,88;-;-;3648,12;-;-;1540,00;1540,00;72;6,0;-;-
"150803 Tracuateua";2;2;3064,00;2455,98;-;-;608,02;-;-;1532,00;1532,00;8;4,0;-;-
"150805 Trairão";3;3;4500,00;3587,97;-;-;912,03;-;-;1500,00;1500,00;7;2,3;-;-
"150808 Tucumã";72;72;109138,46;87249,74;-;-;21888,72;-;-;1515,81;1515,81;297;4,1;1;1,39
"150810 Tucuruí";2;2;3764,28;3156,26;-;-;608,02;-;-;1882,14;1882,14;20;10,0;1;50,00
"150815 Uruará";12;12;18000,00;14351,88;-;-;3648,12;-;-;1500,00;1500,00;75;6,3;-;-
"150820 Vigia";2;2;3000,00;2391,98;-;-;608,02;-;-;1500,00;1500,00;12;6,0;-;-
"150830 Viseu";4;4;6000,00;4783,96;-;-;1216,04;-;-;1500,00;1500,00;20;5,0;-;-
"150835 Vitória do Xingu";9;9;13916,00;11179,91;-;-;2736,09;-;-;1546,22;1546,22;52;5,8;-;-
"150840 Xinguara";7;7;11454,87;9326,80;-;-;2128,07;-;-;1636,41;1636,41;28;4,0;-;-
"160010 Amapá";2;2;3024,00;2415,98;-;-;608,02;-;-;1512,00;1512,00;3;1,5;-;-
"160020 Calçoene";1;1;1500,00;1195,99;-;-;304,01;-;-;1500,00;1500,00;2;2,0;-;-
"160027 Laranjal do Jari";20;20;30032,00;23951,80;-;-;6080,20;-;-;1501,60;1501,60;32;1,6;3;15,00
"160030 Macapá";111;111;188215,65;153285,42;-;-;34930,23;-;-;1695,64;1695,64;779;7,0;15;13,51
"160050 Oiapoque";20;20;30000,00;23919,80;-;-;6080,20;-;-;1500,00;1500,00;62;3,1;1;5,00
"160060 Santana";1;1;1500,00;1195,99;-;-;304,01;-;-;1500,00;1500,00;1;1,0;-;-
"170210 Araguaína";37;37;452314,20;386652,80;-;-;65661,40;-;-;12224,71;12224,71;420;11,4;10;27,03
"170550 Colinas do Tocantins";16;16;25652,92;20788,76;-;-;4864,16;-;-;1603,31;1603,31;47;2,9;2;12,50
"171660 Peixe";4;4;6000,00;4783,96;-;-;1216,04;-;-;1500,00;1500,00;9;2,3;-;-
"172120 Tocantinópolis";8;8;12072,00;9639,92;-;-;2432,08;-;-;1509,00;1509,00;8;1,0;-;-
"210005 Açailândia";48;48;76314,99;61149,15;-;-;15165,84;-;-;1589,90;1589,90;447;9,3;15;31,25
"210047 Alto Alegre do Pindaré";2;2;3064,00;2455,98;-;-;608,02;-;-;1532,00;1532,00;8;4,0;-;-
"210060 Amarante do Maranhão";1;1;1532,00;1227,99;-;-;304,01;-;-;1532,00;1532,00;4;4,0;-;-
"210095 Arame";5;5;7556,00;6035,95;-;-;1520,05;-;-;1511,20;1511,20;11;2,2;-;-
"210120 Bacabal";45;45;98155,02;80544,37;-;-;17610,65;-;-;2181,22;2181,22;234;5,2;6;13,33
"210140 Balsas";84;84;188318,30;154832,66;-;-;33485,64;-;-;2241,88;2241,88;686;8,2;6;7,14
"210160 Barra do Corda";27;27;40500,00;32291,73;-;-;8208,27;-;-;1500,00;1500,00;147;5,4;-;-
"210170 Barreirinhas";12;12;23502,55;19400,03;-;-;4102,52;-;-;1958,55;1958,55;81;6,8;2;16,67
"210177 Bela Vista do Maranhão";1;1;1500,00;1195,99;-;-;304,01;-;-;1500,00;1500,00;3;3,0;-;-
"210203 Bom Jesus das Selvas";15;15;22788,00;18227,85;-;-;4560,15;-;-;1519,20;1519,20;41;2,7;-;-
"210210 Brejo";1;1;1516,00;1211,99;-;-;304,01;-;-;1516,00;1516,00;4;4,0;-;-
"210230 Buriti Bravo";17;17;25876,00;20707,83;-;-;5168,17;-;-;1522,12;1522,12;52;3,1;-;-
"210232 Buriticupu";1;1;1524,20;1220,19;-;-;304,01;-;-;1524,20;1524,20;3;3,0;-;-
"210280 Carolina";4;4;6000,00;4783,96;-;-;1216,04;-;-;1500,00;1500,00;26;6,5;-;-
"210290 Carutapera";7;7;10500,00;8371,93;-;-;2128,07;-;-;1500,00;1500,00;32;4,6;-;-
"210300 Caxias";40;40;149042,68;125424,08;-;-;23618,60;-;-;3726,07;3726,07;322;8,1;12;30,00
"210320 Chapadinha";5;5;16101,42;13496,57;-;-;2604,85;-;-;3220,28;3220,28;20;4,0;-;-
