 Procedimentos hospitalares do SUS - por local de internação - Brasil
AIH aprovadasInternaçõesValor totalValor serviços hospitalaresVal serv hosp - compl federalVal serv hosp - compl gestorValor serviços profissionaisVal serv prof - compl federalVal serv prof - compl gestorValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Município
Procedimento: 0303010223 TRATAMENTO DE INFECÇÃO PELO CORONAVIRUS – COVID 19
Período:Set/2020
"Município";"AIH_aprovadas";"Internações";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"510840 Várzea Grande";318;318;999074,38;837147,14;-;-;161927,24;-;-;3141,74;3141,74;2405;7,6;33;10,38
"520013 Acreúna";15;15;22500,00;17939,85;-;-;4560,15;-;-;1500,00;1500,00;57;3,8;-;-
"520025 Águas Lindas de Goiás";40;40;60184,00;48023,60;-;-;12160,40;-;-;1504,60;1504,60;25;0,6;1;2,50
"520030 Alexânia";8;8;12000,00;9567,92;-;-;2432,08;-;-;1500,00;1500,00;24;3,0;-;-
"520050 Aloândia";5;5;7500,00;5979,95;-;-;1520,05;-;-;1500,00;1500,00;16;3,2;-;-
"520080 Alvorada do Norte";1;1;1500,00;1195,99;-;-;304,01;-;-;1500,00;1500,00;9;9,0;-;-
"520110 Anápolis";70;70;271661,24;228002,91;-;-;43658,33;-;-;3880,87;3880,87;585;8,4;23;32,86
"520140 Aparecida de Goiânia";453;453;2058040,39;1746125,92;-;-;311914,47;-;-;4543,14;4543,14;3345;7,4;85;18,76
"520150 Aporé";2;2;3000,00;2391,98;-;-;608,02;-;-;1500,00;1500,00;10;5,0;-;-
"520215 Araguapaz";1;1;1500,00;1195,99;-;-;304,01;-;-;1500,00;1500,00;3;3,0;1;100,00
"520330 Bela Vista de Goiás";11;11;16500,00;13155,89;-;-;3344,11;-;-;1500,00;1500,00;26;2,4;1;9,09
"520340 Bom Jardim de Goiás";2;2;3000,00;2391,98;-;-;608,02;-;-;1500,00;1500,00;6;3,0;-;-
"520350 Bom Jesus de Goiás";16;16;24088,73;19224,57;-;-;4864,16;-;-;1505,55;1505,55;48;3,0;1;6,25
"520380 Britânia";6;6;9000,00;7175,94;-;-;1824,06;-;-;1500,00;1500,00;19;3,2;-;-
"520410 Cachoeira Alta";7;7;10500,00;8371,93;-;-;2128,07;-;-;1500,00;1500,00;40;5,7;1;14,29
