 Procedimentos hospitalares do SUS - por local de internação - Brasil
AIH aprovadasInternaçõesValor totalValor serviços hospitalaresVal serv hosp - compl federalVal serv hosp - compl gestorValor serviços profissionaisVal serv prof - compl federalVal serv prof - compl gestorValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Município
Procedimento: 0303010223 TRATAMENTO DE INFECÇÃO PELO CORONAVIRUS – COVID 19
Período:Dez/2020
"Município";"AIH_aprovadas";"Internações";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"150730 São Félix do Xingu";41;41;61604,00;49139,59;-;-;12464,41;-;-;1502,54;1502,54;156;3,8;3;7,32
"150747 São João de Pirabas";5;5;7652,00;6131,95;-;-;1520,05;-;-;1530,40;1530,40;23;4,6;1;20,00
"150805 Trairão";2;2;3000,00;2391,98;-;-;608,02;-;-;1500,00;1500,00;3;1,5;-;-
"150808 Tucumã";31;31;46990,26;37565,95;-;-;9424,31;-;-;1515,81;1515,81;107;3,5;1;3,23
"150820 Vigia";1;1;1500,00;1195,99;-;-;304,01;-;-;1500,00;1500,00;6;6,0;-;-
"150830 Viseu";6;6;9080,00;7255,94;-;-;1824,06;-;-;1513,33;1513,33;27;4,5;-;-
"150840 Xinguara";6;6;9818,46;7994,40;-;-;1824,06;-;-;1636,41;1636,41;23;3,8;-;-
"160010 Amapá";1;1;1508,00;1203,99;-;-;304,01;-;-;1508,00;1508,00;8;8,0;-;-
"160027 Laranjal do Jari";24;24;36048,00;28751,76;-;-;7296,24;-;-;1502,00;1502,00;67;2,8;1;4,17
"160030 Macapá";355;355;590718,50;474123,72;-;-;116594,78;-;-;1664,00;1664,00;3242;9,1;72;20,28
"160050 Oiapoque";29;29;43500,00;34683,71;-;-;8816,29;-;-;1500,00;1500,00;132;4,6;1;3,45
"170210 Araguaína";45;45;410192,66;348969,36;-;-;61223,30;-;-;9115,39;9115,39;369;8,2;11;24,44
"170550 Colinas do Tocantins";31;31;48176,92;38752,61;-;-;9424,31;-;-;1554,09;1554,09;89;2,9;-;-
"171790 Ponte Alta do Tocantins";2;2;3000,00;2391,98;-;-;608,02;-;-;1500,00;1500,00;5;2,5;-;-
"172090 Taguatinga";1;1;1500,00;1195,99;-;-;304,01;-;-;1500,00;1500,00;1;1,0;-;-
"172120 Tocantinópolis";5;5;7564,00;6043,95;-;-;1520,05;-;-;1512,80;1512,80;8;1,6;-;-
"210005 Açailândia";26;26;39235,05;31330,79;-;-;7904,26;-;-;1509,04;1509,04;99;3,8;-;-
"210080 Anapurus";1;1;1532,00;1227,99;-;-;304,01;-;-;1532,00;1532,00;5;5,0;-;-
"210095 Arame";4;4;6016,00;4799,96;-;-;1216,04;-;-;1504,00;1504,00;6;1,5;-;-
"210120 Bacabal";17;17;26626,53;21458,36;-;-;5168,17;-;-;1566,27;1566,27;122;7,2;1;5,88
"210140 Balsas";64;64;160648,84;132565,40;-;-;28083,44;-;-;2510,14;2510,14;480;7,5;6;9,38
"210160 Barra do Corda";22;22;33024,00;26335,78;-;-;6688,22;-;-;1501,09;1501,09;112;5,1;-;-
"210170 Barreirinhas";1;1;4836,41;4078,00;-;-;758,41;-;-;4836,41;4836,41;1;1,0;-;-
"210177 Bela Vista do Maranhão";2;2;3000,00;2391,98;-;-;608,02;-;-;1500,00;1500,00;8;4,0;-;-
"210203 Bom Jesus das Selvas";4;4;6072,00;4855,96;-;-;1216,04;-;-;1518,00;1518,00;9;2,3;-;-
"210210 Brejo";2;2;3048,00;2439,98;-;-;608,02;-;-;1524,00;1524,00;10;5,0;-;-
"210230 Buriti Bravo";5;5;7556,00;6035,95;-;-;1520,05;-;-;1511,20;1511,20;7;1,4;-;-
"210280 Carolina";11;11;16564,00;13219,89;-;-;3344,11;-;-;1505,82;1505,82;42;3,8;-;-
"210290 Carutapera";2;2;3000,00;2391,98;-;-;608,02;-;-;1500,00;1500,00;7;3,5;-;-
"210300 Caxias";83;83;429482,55;361999,12;-;-;67483,43;-;-;5174,49;5174,49;768;9,3;14;16,87
"210320 Chapadinha";4;4;14205,16;11904,32;-;-;2300,84;-;-;3551,29;3551,29;16;4,0;-;-
"210325 Cidelândia";2;2;3024,00;2415,98;-;-;608,02;-;-;1512,00;1512,00;3;1,5;-;-
"210330 Codó";4;4;6000,00;4783,96;-;-;1216,04;-;-;1500,00;1500,00;23;5,8;1;25,00
"210350 Colinas";9;9;13644,00;10907,91;-;-;2736,09;-;-;1516,00;1516,00;23;2,6;-;-
"210360 Coroatá";16;16;90031,31;76285,35;-;-;13745,96;-;-;5626,96;5626,96;130;8,1;6;37,50
"210370 Cururupu";4;4;6272,82;5056,78;-;-;1216,04;-;-;1568,20;1568,20;30;7,5;-;-
"210407 Feira Nova do Maranhão";7;7;10500,00;8371,93;-;-;2128,07;-;-;1500,00;1500,00;28;4,0;1;14,29
"210408 Fernando Falcão";2;2;3072,00;2463,98;-;-;608,02;-;-;1536,00;1536,00;12;6,0;-;-
"210440 Gonçalves Dias";1;1;1500,00;1195,99;-;-;304,01;-;-;1500,00;1500,00;5;5,0;-;-
"210465 Governador Newton Bello";1;1;1516,00;1211,99;-;-;304,01;-;-;1516,00;1516,00;2;2,0;-;-
"210467 Governador Nunes Freire";6;6;9208,00;7383,94;-;-;1824,06;-;-;1534,67;1534,67;26;4,3;-;-
"210480 Grajaú";18;18;73767,71;61706,73;-;-;12060,98;-;-;4098,21;4098,21;148;8,2;4;22,22
"210530 Imperatriz";146;146;412804,38;341465,01;-;-;71339,37;-;-;2827,43;2827,43;1314;9,0;32;21,92
"210547 Jenipapo dos Vieiras";1;1;1500,00;1195,99;-;-;304,01;-;-;1500,00;1500,00;-;-;-;-
"210570 Lago da Pedra";19;19;76506,00;63913,81;-;-;12592,19;-;-;4026,63;4026,63;159;8,4;8;42,11
"210710 Morros";3;3;4500,00;3587,97;-;-;912,03;-;-;1500,00;1500,00;10;3,3;-;-
"210725 Nova Colinas";5;5;7500,00;5979,95;-;-;1520,05;-;-;1500,00;1500,00;10;2,0;-;-
"210745 Olinda Nova do Maranhão";10;10;15240,00;12199,90;-;-;3040,10;-;-;1524,00;1524,00;50;5,0;-;-
"210790 Passagem Franca";9;9;13540,00;10803,91;-;-;2736,09;-;-;1504,44;1504,44;28;3,1;-;-
"210800 Pastos Bons";25;25;37604,00;30003,75;-;-;7600,25;-;-;1504,16;1504,16;152;6,1;-;-
"210820 Pedreiras";51;51;76500,00;60995,49;-;-;15504,51;-;-;1500,00;1500,00;610;12,0;3;5,88
"210860 Pinheiro";14;14;32379,52;26699,59;-;-;5679,93;-;-;2312,82;2312,82;126;9,0;3;21,43
